id	y.repeated	y.trend	time	sex
15	-0.87	9.87	2	0
148	0.75	5.14	3	1
114	1.78	-1.42	2	1
204	3.72	9.83	5	1
372	2.07	2.89	4	1
387	-0.08	7.05	2	0
136	1.21	9.09	2	1
49	1.04	-0.17	3	0
34	-0.29	2.18	5	1
341	-0.18	2.81	1	0
338	0.84	10.72	5	1
386	1.41	1.59	2	1
344	1.11	2.5	1	1
20	0.29	8.97	3	1
213	-0.64	3.33	1	0
353	-0.33	4.38	1	0
312	1.99	6.98	3	1
68	3.07	11.84	3	1
349	-0.07	0.78	2	0
132	2.92	3.9	3	1
322	1.17	14.25	3	1
249	1.17	-0.33	3	0
247	1.01	1.41	1	0
338	1.87	5.21	3	1
2	0.9	9.32	3	1
184	0.19	0.14	3	1
308	1.08	4.37	2	1
122	2.36	11.92	3	1
46	2.74	6.35	4	1
288	2.35	1.62	2	1
92	2.28	5.26	3	1
201	0.21	7.19	3	0
143	0.27	3.24	2	0
152	-0.7	5.87	1	1
161	2.09	3.05	2	0
302	0.9	-7.87	3	1
54	0.59	9.59	3	1
39	1.15	5.71	2	0
393	0.74	3.18	1	0
264	1.49	16.82	4	1
76	0.61	0.99	3	1
7	1.27	10.54	2	0
120	1.21	0.42	1	1
3	1.29	-1.66	1	0
98	2.58	-2.67	2	1
147	2.24	12.88	4	0
10	3.68	8.89	4	1
4	1.91	-1.21	2	1
296	0.44	-1.65	2	1
262	2.34	2.64	3	1
102	3.62	-3.47	4	1
64	0.89	15.71	3	1
343	-1.06	2.81	2	0
119	2.83	7.94	5	0
276	0.3	5.82	5	1
268	2.18	1.37	1	1
115	1.75	-0.94	3	0
172	1.85	-0.12	1	1
19	-0.2	-5.22	2	0
49	2.47	-2.94	4	0
374	2.21	8.36	3	1
246	2.49	-1.39	1	1
143	-0.82	6.95	5	0
91	2.07	-1.4	1	0
240	2.84	6.6	1	1
318	1.81	11.75	4	1
66	2.56	10.7	3	1
288	2.93	4.67	4	1
151	2.42	0.6	4	0
232	3.19	-1.88	4	1
304	0.77	3.57	4	1
118	1.72	8.92	3	1
289	1.77	4.5	3	0
206	0.8	0.83	5	1
117	2.83	7.31	4	0
383	2.27	1.92	1	0
35	0.87	1.84	3	0
174	2.57	12.21	4	1
64	0.5	4.8	1	1
248	0.44	6.88	5	1
211	3.35	-2.73	2	0
251	1.29	-1.47	3	0
341	-0.36	9.99	3	0
223	0.72	-0.83	3	0
224	0.44	4.7	1	1
348	2.63	6.34	4	1
311	0.8	3.02	4	0
141	0.81	12.55	4	0
70	0.64	3.62	2	1
325	1.05	-0.94	1	0
14	-0.1	2.23	1	1
302	1.8	-4.39	2	1
327	0.65	8.04	3	0
383	1.72	8.71	4	0
230	1.34	2.93	1	1
242	0.48	0.95	5	1
321	-0.17	7.03	5	0
238	1.08	0.27	3	1
336	0.52	-0.68	1	1
356	3.09	9.59	5	1
22	2.03	0.58	2	1
340	0.95	9.18	5	1
67	-0.86	-10.23	3	0
58	0.77	2.67	1	1
208	2.68	8.98	5	1
349	0.29	0.41	3	0
182	1.27	13.22	5	1
232	3.55	1.97	5	1
254	2.54	1.68	5	1
221	0.42	-3.44	4	0
326	-0.26	1.25	2	1
226	1.52	7.27	3	1
400	-0.18	0.93	3	1
271	1.33	5.56	2	0
20	1.3	5.99	2	1
209	2.45	1.12	5	0
72	2.77	-9.26	3	1
94	2.13	1.22	4	1
20	1.43	9.09	4	1
346	1.73	8.02	3	1
4	2.04	0.92	1	1
106	0.64	1.7	3	1
369	0.13	-1.11	4	0
347	-1.6	7.78	5	0
282	1.88	2.23	4	1
377	1.2	10.92	2	0
194	1.96	1.51	2	1
130	1.79	20.68	4	1
275	1.21	3.35	3	0
323	1.1	1.54	2	0
190	2.88	2.14	2	1
161	2.1	17.74	5	0
314	1.99	-3.66	3	1
51	0.37	8.8	5	0
381	-0.25	3.16	2	0
313	1.69	0.33	2	0
273	2.05	5.08	4	0
311	1.22	5.82	5	0
229	0.61	6.19	5	0
366	0.7	6.13	2	1
52	1.22	0.88	2	1
323	0.62	1.46	4	0
247	0.87	5.83	5	0
215	0.42	-5	2	0
26	0.51	7.86	4	1
156	2.97	5.35	2	1
138	1.37	12.9	3	1
344	1.27	8.27	3	1
83	0.49	-2.65	2	0
357	1.46	4.42	1	0
394	0.64	0.78	1	1
346	2.27	0.59	1	1
331	0.99	11.24	5	0
287	1.05	4.36	5	0
39	0.15	8.07	5	0
198	0.69	8.07	3	1
147	1.65	8.1	2	0
373	0.24	2.73	3	0
80	1.33	7.51	3	1
158	0.94	2.73	2	1
132	2.16	6.74	4	1
62	1.85	2.95	4	1
284	1.97	-1.38	5	1
148	0.65	11.65	5	1
350	2.65	5.18	1	1
330	2.37	1.42	5	1
377	1.86	15.78	3	0
240	3.97	18.32	5	1
116	1.48	2.94	1	1
217	0.96	-0.2	3	0
343	1.45	-1.84	4	0
92	1.01	2.57	1	1
215	0.42	-9.47	5	0
69	-0.39	1.9	1	0
260	1.76	6.47	2	1
269	2.45	14.58	4	0
333	-0.71	0.81	4	0
212	1.67	16.18	5	1
36	1	14.45	4	1
13	0.62	2.72	1	0
227	1.86	8.7	3	0
59	0.98	-0.64	1	0
387	0.75	10.72	4	0
15	1.15	20.73	5	0
248	2.03	2.39	2	1
283	1.8	6.28	3	0
294	2.34	5.11	4	1
223	2.58	-1.11	5	0
37	1	1.91	3	0
335	-0.36	20.2	5	0
297	0.38	3.68	4	0
358	0.4	3.8	1	1
326	1.31	-2.48	1	1
175	0.97	2.64	2	0
348	3.15	1.24	1	1
5	1.26	7.96	4	0
112	3.04	7.49	3	1
218	1.36	4.91	2	1
295	0.51	7.83	5	0
180	1.92	12.95	5	1
82	2.85	6.72	4	1
243	0.11	6.62	1	0
380	2.42	-1.02	2	1
94	1.87	1.47	5	1
192	1.14	-1.69	3	1
187	1.28	5.6	5	0
10	2.13	9.78	3	1
48	1.35	3.3	1	1
56	0.61	5.36	4	1
170	1.87	3.74	5	1
270	2.91	18.43	4	1
130	2.07	12.99	2	1
187	0.99	3.81	2	0
337	0.15	2.84	2	0
322	0.84	14.09	2	1
317	0.6	11.16	3	0
172	1.75	2.76	4	1
270	0.92	13.61	2	1
289	1.6	-1.12	2	0
353	0.16	10.06	4	0
24	-0.07	3.34	2	1
127	-0.24	1.39	4	0
250	1.57	7.86	3	1
225	2.15	-3.46	5	0
160	0.89	5.61	2	1
352	1.69	4.99	4	1
219	0.93	-7.36	2	0
252	1.41	9.11	4	1
265	2.26	2.23	2	0
378	0.54	13.87	4	1
228	4.02	0.46	1	1
292	0.86	9.07	5	1
82	2.18	6.21	3	1
36	2.37	2.88	1	1
53	2.29	0.4	2	0
152	-0.41	14.33	4	1
352	0.68	3.81	2	1
370	1.76	4.92	1	1
250	2.07	10.06	4	1
171	-0.44	-0.52	1	0
21	-0.6	3.82	3	0
157	0.03	2.58	1	0
375	1.79	12.26	5	0
33	4.59	4.59	2	0
306	0.43	7.84	4	1
347	-0.09	6.31	4	0
342	0.52	7.26	5	1
227	0.93	3.27	1	0
78	2.92	11.01	5	1
294	1.75	2.97	2	1
26	1.7	4.93	2	1
132	1.47	4.49	2	1
36	1.82	10.8	3	1
194	3.72	1.85	3	1
221	0.18	-0.65	1	0
251	1.45	2.02	2	0
310	1.17	3.27	3	1
146	1.52	3.45	2	1
126	0.95	9.03	2	1
47	1.11	2.33	5	0
189	0.53	1.15	2	0
234	2.33	-4.61	4	1
236	3.31	0.22	1	1
295	2.57	4.5	3	0
269	0.22	11.84	3	0
236	2.75	2.21	2	1
16	2.21	13.31	3	1
50	2.55	7.34	4	1
1	1.74	-5.33	3	0
223	0.96	-0.4	2	0
279	0.63	12.61	4	0
44	1.65	3.7	4	1
289	1.93	3.15	1	0
101	0.37	1.84	4	0
200	2.5	16.17	5	1
357	0.96	13.04	4	0
387	1.23	6.06	3	0
96	2.1	2.11	1	1
57	-0.21	-7.59	5	0
238	2.51	0.53	1	1
14	0.37	11.82	4	1
350	1.88	6.7	3	1
242	1.47	1.33	2	1
53	2.43	4.58	5	0
327	0.1	12.55	5	0
7	1.13	12.91	3	0
273	0.72	4.57	1	0
365	-0.28	4.77	2	0
279	1.93	9.38	3	0
364	2.25	3.17	1	1
38	1.64	9.62	2	1
289	1.37	3.7	5	0
52	-0.3	-1.78	3	1
290	0.01	-4.54	1	1
121	1.67	-1.79	1	0
235	1.2	-2.18	1	0
213	1	11.17	5	0
104	1.27	14.93	5	1
395	1.63	4.04	4	0
54	0.41	15.22	5	1
227	1.45	11.5	4	0
53	1.51	2.66	3	0
254	2.37	2.94	1	1
147	-0.11	5.8	3	0
185	1.48	-0.32	1	0
272	0.97	4.16	5	1
194	1.78	4.42	4	1
381	1.52	6.09	4	0
63	1.57	-3.94	3	0
34	0.61	0.45	3	1
253	1.37	-0.75	1	0
83	-0.01	-4.26	4	0
21	0.44	2.94	5	0
76	1.84	1.14	2	1
60	2.94	2.78	5	1
61	0.37	4.31	1	0
66	2.36	3.52	1	1
390	1.88	7.79	4	1
214	1.36	1.6	2	1
263	1.47	-1.39	1	0
332	2.25	10.4	2	1
79	0.66	1.84	5	0
396	2.52	5.68	2	1
159	1.28	3.16	1	0
78	2	6.6	4	1
392	1.34	9.85	3	1
303	0.97	-2.11	1	0
259	0.98	3.59	1	0
150	2.06	13.42	4	1
63	1.29	-3.12	2	0
278	2.28	8.11	2	1
130	2.39	9.82	1	1
143	0	6.05	3	0
42	0.96	9.79	2	1
218	2.55	10.93	5	1
363	1.06	19.71	3	0
259	0.93	3.38	2	0
209	1.46	-2.46	4	0
210	2.56	9.57	5	1
59	0.94	0.86	3	0
261	0.23	0.97	2	0
205	1	-1.32	1	0
355	0.13	9.13	2	0
193	0.53	-6.78	4	0
383	1.93	2.02	2	0
389	-0.35	3.11	3	0
335	0.97	16.79	4	0
26	2.13	8.23	5	1
250	1.47	6.75	2	1
291	-0.64	-1.4	2	0
37	0.66	-0.36	2	0
8	2	4.66	2	1
275	2.27	-0.01	2	0
9	0.25	4.7	3	0
363	1.66	25.57	4	0
244	0.69	1.82	1	1
397	0.36	2.51	1	0
312	1.54	10.25	4	1
140	1.58	0.07	1	1
144	0.24	16.17	5	1
193	1.48	-1.77	1	0
237	1.16	2.55	3	0
393	1.46	5.76	4	0
154	2.41	14.74	5	1
303	1.2	-0.23	2	0
327	-0.7	6.25	2	0
105	0.18	1.61	2	0
138	1.31	17.97	5	1
4	1.8	-1.26	5	1
137	1.85	-1	3	0
300	1.04	3.08	2	1
346	2.94	6.01	2	1
291	-0.28	-1.22	1	0
145	1.9	17.36	5	0
196	3.38	9.44	5	1
44	0.24	5.23	3	1
371	1.79	14.65	4	0
118	1.27	7.45	4	1
251	2.12	-1.49	1	0
70	1.58	2.12	3	1
329	1.63	9	3	0
195	0.36	-3.06	2	0
51	1.1	3.58	3	0
158	1.1	6.18	3	1
183	1.68	-2.97	5	0
379	1.34	3.29	1	0
322	1.7	19.22	4	1
252	1.74	7.19	2	1
173	0.68	5.02	4	0
179	1.16	3.93	2	0
374	1.31	4.45	2	1
160	0.71	1.9	1	1
99	3.1	9.41	4	0
389	0.56	0.97	4	0
300	2.08	0.06	1	1
138	0.52	7.32	1	1
370	1.37	14.1	3	1
213	1.17	7.72	3	0
284	2.28	-1.46	2	1
326	1.01	3.87	3	1
390	1.47	5.73	2	1
1	2.2	-9.95	5	0
313	0.7	-0.3	3	0
308	0.68	5.94	5	1
69	1.27	0.98	2	0
120	1.19	1.85	2	1
34	0.46	2.12	2	1
37	1.28	1.93	1	0
333	0.55	1.17	2	0
235	1.1	-3.31	3	0
286	1.66	2.1	1	1
8	0.9	2.33	1	1
109	-0.38	-1.25	3	0
237	1.07	2.26	5	0
109	-0.1	0.37	1	0
71	1.67	-0.65	1	0
212	0.83	8.15	2	1
337	0.78	1.3	4	0
29	1.01	4.98	1	0
188	1.87	3.14	2	1
346	2.7	7.11	4	1
5	0.76	1.42	2	0
397	-0.38	11.19	5	0
308	0.48	0.93	1	1
206	1	1.44	4	1
116	3.48	2.71	5	1
156	2.51	4.09	1	1
156	3.46	6.8	5	1
124	1.69	5.61	1	1
105	2.18	5.57	5	0
383	2.19	4.52	3	0
366	2.62	8.6	4	1
379	0.35	-0.23	3	0
357	0.93	10.85	3	0
376	2.01	10.73	5	1
273	-0.72	9.08	5	0
77	0.49	3.5	4	0
191	1.04	7.29	5	0
220	2.41	6.16	1	1
245	0.21	8.63	3	0
307	0.27	2.91	2	0
67	1.27	-16	5	0
117	2.27	5.08	3	0
202	-0.45	-1	1	1
125	0.52	7.61	2	0
128	1.9	4.07	4	1
378	1.57	7.01	2	1
25	2.34	11.43	5	0
212	0.85	7.75	3	1
148	1.75	6.12	2	1
323	1.49	-0.94	3	0
309	1.96	0.97	3	0
201	0.27	3.04	1	0
338	0.58	9.43	4	1
271	0.28	7.53	3	0
235	0.3	-4.55	2	0
110	2.71	9.29	5	1
314	1.72	0.75	2	1
222	2.1	-5.27	2	1
386	1.4	4.21	3	1
17	1.78	11.96	5	0
122	2.04	14.93	4	1
205	1.37	0.17	5	0
310	1.06	3.27	5	1
340	1.94	6.01	2	1
101	0.16	2.77	1	0
149	0.24	10.3	4	0
128	2.76	3.91	1	1
226	0.03	6.28	4	1
251	2.44	-2.44	4	0
222	1.73	-6.6	3	1
102	0.54	0.85	1	1
119	1.65	5.65	2	0
359	0.92	6.17	1	0
302	2.45	-11.85	4	1
378	0.88	17.49	5	1
395	1.5	5.43	5	0
255	1.27	5.95	2	0
136	2.04	9.36	3	1
372	1.43	1.2	2	1
22	1.55	-0.23	5	1
253	0.35	0.36	2	0
328	1.53	-3.03	2	1
56	0.58	3.12	2	1
219	0.87	-11.14	4	0
15	0.01	6.47	1	0
72	3.77	-14.28	5	1
280	0.9	3.98	1	1
328	2.82	-3.47	1	1
87	-0.02	3.69	1	0
134	1.1	8.74	3	1
362	1.25	2.34	1	1
163	0.27	7.4	3	0
204	3.28	5.66	3	1
132	1.68	3.57	1	1
329	1.52	10.3	5	0
186	0.15	2.44	2	1
184	1.54	2.42	4	1
319	1.27	12.04	3	0
